Year,Period_Deaths,Pop_Est,Total_Deaths
2000,9210,3810605,28846
2001,10286,3818774,29438
2002,9452,3823701,28415
2003,9887,3826095,28842
2004,9879,3826878,29600
2005,9725,3821362,29978
2006,9609,3805214,28637
2007,9792,3782995,29321
2008,9635,3760866,29100
2009,9448,3740410,29125
2010,10037,3721525,29290
2011,9847,3678732,30002
2012,9903,3634488,29873
2013,9702,3593077,29446
2014,10931,3534874,30346
2015,9438,3473177,28411
2016,10063,3406520,29649
